Seed was:  1322998564246784757
1322998564246784757
89.54358100891113
         99955905 function calls (99935444 primitive calls) in 102.775 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(any)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(argsort)
       12    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(array_equal)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(atleast_1d)
        3    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(atleast_2d)
       56    0.000    0.000    0.055    0.001 <__array_function__ internals>:177(concatenate)
       20    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(copyto)
  4000001    1.982    0.000    6.821    0.000 <__array_function__ internals>:177(dot)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(empty_like)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(inv)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(linspace)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(lstsq)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(ndim)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(outer)
        1    0.000    0.000    0.001    0.001 <__array_function__ internals>:177(polyfit)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(polyval)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(result_type)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(trim_zeros)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(vander)
        3    0.000    0.000    0.036    0.012 <__array_function__ internals>:177(vstack)
        1    0.000    0.000    0.000    0.000 <__array_function__ internals>:177(zeros_like)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-10>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        3    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-9>:1(<module>)
   1903/2    0.013    0.000    2.696    1.348 <frozen importlib._bootstrap>:1002(_find_and_load)
        3    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1018(_gcd_import)
  1987/38    0.004    0.000    2.684    0.071 <frozen importlib._bootstrap>:1033(_handle_fromlist)
     4149    0.009    0.000    0.011    0.000 <frozen importlib._bootstrap>:112(release)
     1903    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:152(__init__)
     1903    0.003    0.000    0.025    0.000 <frozen importlib._bootstrap>:156(__enter__)
     1903    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:160(__exit__)
     4149    0.013    0.000    0.021    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
     1886    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap>:185(cb)
     2246    0.004    0.000    0.019    0.000 <frozen importlib._bootstrap>:203(_lock_unlock_module)
   2549/2    0.003    0.000    2.695    1.347 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
    13696    0.006    0.000    0.006    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:241(_requires_builtin_wrapper)
     1651    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:35(_new_module)
     1882    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:351(__init__)
     3479    0.003    0.000    0.033    0.000 <frozen importlib._bootstrap>:385(cached)
     4064    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:398(parent)
     1835    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:415(spec_from_loader)
     1835    0.010    0.000    0.055    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
1835/1831    0.005    0.000    0.654    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
     1886    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap>:58(__init__)
   1835/1    0.010    0.000    2.696    2.696 <frozen importlib._bootstrap>:659(_load_unlocked)
     1880    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:736(find_spec)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:757(create_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:765(exec_module)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:782(is_package)
     1876    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:811(find_spec)
     4149    0.011    0.000    0.013    0.000 <frozen importlib._bootstrap>:87(acquire)
     5670    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:874(__enter__)
     5670    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:878(__exit__)
     1880    0.016    0.000    0.262    0.000 <frozen importlib._bootstrap>:901(_find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:948(_sanity_check)
   1903/2    0.010    0.000    2.696    1.348 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
     1650    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1006(__init__)
     1650    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1031(get_filename)
     1690    0.011    0.000    0.615    0.000 <frozen importlib._bootstrap_external>:1036(get_data)
     1650    0.002    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
      179    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1155(__init__)
  179/176    0.001    0.000    0.591    0.003 <frozen importlib._bootstrap_external>:1171(create_module)
  179/130    0.000    0.000    0.163    0.001 <frozen importlib._bootstrap_external>:1179(exec_module)
    12712    0.011    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1216(__init__)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1223(_find_parent_path_names)
    12712    0.011    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1233(_get_parent_path)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1237(_recalculate)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1251(__iter__)
     3300    0.007    0.000    0.015    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
     6600    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1299(exec_module)
      210    0.001    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1333(_path_hooks)
     2455    0.003    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1346(_path_importer_cache)
     6911    0.005    0.000    0.107    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
     1876    0.008    0.000    0.234    0.000 <frozen importlib._bootstrap_external>:1383(_get_spec)
     1876    0.002    0.000    0.236    0.000 <frozen importlib._bootstrap_external>:1415(find_spec)
     2744    0.003    0.000    0.035    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      210    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1475(__init__)
     1680    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1481(<genexpr>)
     1829    0.004    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
     2307    0.026    0.000    0.201    0.000 <frozen importlib._bootstrap_external>:1514(find_spec)
